"시점","동별(1)","동별(2)",구분별(1),구분별(2),데이터
"2019 1/4","합계","소계",세대 (세대),소계,4290922
"2019 1/4","합계","소계",계 (명),소계,10054979
"2019 1/4","합계","소계",계 (명),남자,4909387
"2019 1/4","합계","소계",계 (명),여자,5145592
"2019 1/4","합계","소계",한국인 (명),소계,9770216
"2019 1/4","합계","소계",한국인 (명),남자,4772134
"2019 1/4","합계","소계",한국인 (명),여자,4998082
"2019 1/4","합계","소계",등록외국인 (명),소계,284763
"2019 1/4","합계","소계",등록외국인 (명),남자,137253
"2019 1/4","합계","소계",등록외국인 (명),여자,147510
"2019 1/4","합계","소계",세대당인구 (명),소계,2.28
"2019 1/4","합계","소계",65세이상고령자 (명),소계,1436125
"2019 1/4","합계","종로구",세대 (세대),소계,73914
"2019 1/4","합계","종로구",계 (명),소계,162913
"2019 1/4","합계","종로구",계 (명),남자,78963
"2019 1/4","합계","종로구",계 (명),여자,83950
"2019 1/4","합계","종로구",한국인 (명),소계,152778
"2019 1/4","합계","종로구",한국인 (명),남자,74536
"2019 1/4","합계","종로구",한국인 (명),여자,78242
"2019 1/4","합계","종로구",등록외국인 (명),소계,10135
"2019 1/4","합계","종로구",등록외국인 (명),남자,4427
"2019 1/4","합계","종로구",등록외국인 (명),여자,5708
"2019 1/4","합계","종로구",세대당인구 (명),소계,2.07
"2019 1/4","합계","종로구",65세이상고령자 (명),소계,26981
"2019 1/4","합계","중구",세대 (세대),소계,61800
"2019 1/4","합계","중구",계 (명),소계,135836
"2019 1/4","합계","중구",계 (명),남자,66720
"2019 1/4","합계","중구",계 (명),여자,69116
"2019 1/4","합계","중구",한국인 (명),소계,125942
"2019 1/4","합계","중구",한국인 (명),남자,61992
"2019 1/4","합계","중구",한국인 (명),여자,63950
"2019 1/4","합계","중구",등록외국인 (명),소계,9894
"2019 1/4","합계","중구",등록외국인 (명),남자,4728
"2019 1/4","합계","중구",등록외국인 (명),여자,5166
"2019 1/4","합계","중구",세대당인구 (명),소계,2.04
"2019 1/4","합계","중구",65세이상고령자 (명),소계,22421
"2019 1/4","합계","용산구",세대 (세대),소계,109413
"2019 1/4","합계","용산구",계 (명),소계,245139
"2019 1/4","합계","용산구",계 (명),남자,119597
"2019 1/4","합계","용산구",계 (명),여자,125542
"2019 1/4","합계","용산구",한국인 (명),소계,229168
"2019 1/4","합계","용산구",한국인 (명),남자,110626
"2019 1/4","합계","용산구",한국인 (명),여자,118542
"2019 1/4","합계","용산구",등록외국인 (명),소계,15971
"2019 1/4","합계","용산구",등록외국인 (명),남자,8971
"2019 1/4","합계","용산구",등록외국인 (명),여자,7000
